Date,GOOG
"Apr 30, 2018",78.31
"May 1, 2018",79.11
"May 2, 2018",78.48
"May 3, 2018",78.60
"May 4, 2018",79.05
"May 7, 2018",80.01
"May 8, 2018",79.62
"May 9, 2018",80.40
"May 10, 2018",80.45
"May 11, 2018",80.15
"May 14, 2018",80.08
"May 15, 2018",78.81
"May 16, 2018",79.36
"May 17, 2018",79.09
"May 18, 2018",78.72
"May 21, 2018",79.27
"May 22, 2018",79.07
"May 23, 2018",80.09
"May 24, 2018",80.15
"May 25, 2018",80.51
"May 29, 2018",80.64
"May 30, 2018",81.24
"May 31, 2018",81.48
"Jun 1, 2018",82.08
"Jun 4, 2018",83.26
"Jun 5, 2018",84.82
"Jun 6, 2018",84.79
"Jun 7, 2018",84.47
"Jun 8, 2018",84.20
"Jun 11, 2018",84.46
"Jun 12, 2018",84.94
"Jun 13, 2018",85.24
"Jun 14, 2018",86.19
"Jun 15, 2018",85.80
"Jun 18, 2018",86.19
"Jun 19, 2018",86.74
"Jun 20, 2018",87.50
"Jun 21, 2018",86.51
"Jun 22, 2018",85.78
"Jun 25, 2018",83.16
"Jun 26, 2018",84.55
"Jun 27, 2018",83.03
"Jun 28, 2018",85.07
"Jun 29, 2018",84.99
"Jul 2, 2018",85.69
"Jul 3, 2018",84.70
"Jul 5, 2018",84.99
"Jul 6, 2018",85.53
"Jul 9, 2018",86.95
"Jul 10, 2018",87.15
"Jul 11, 2018",87.75
"Jul 12, 2018",89.83
"Jul 13, 2018",90.65
"Jul 16, 2018",91.12
"Jul 17, 2018",92.20
"Jul 18, 2018",92.15
"Jul 19, 2018",90.65
"Jul 20, 2018",90.69
"Jul 23, 2018",90.10
"Jul 24, 2018",91.46
"Jul 25, 2018",93.18
"Jul 26, 2018",90.40
"Jul 27, 2018",90.86
"Jul 30, 2018",88.96
"Jul 31, 2018",88.87
"Aug 1, 2018",89.86
"Aug 2, 2018",91.72
"Aug 3, 2018",91.16
"Aug 6, 2018",92.39
"Aug 7, 2018",93.12
"Aug 8, 2018",94.33
"Aug 9, 2018",94.93
"Aug 10, 2018",94.32
"Aug 13, 2018",94.81
"Aug 14, 2018",95.98
"Aug 15, 2018",94.13
"Aug 16, 2018",94.33
"Aug 17, 2018",94.11
"Aug 20, 2018",93.84
"Aug 21, 2018",94.17
"Aug 22, 2018",95.25
"Aug 23, 2018",95.15
"Aug 24, 2018",95.27
"Aug 27, 2018",96.38
"Aug 28, 2018",96.64
"Aug 29, 2018",99.91
"Aug 30, 2018",100.12
"Aug 31, 2018",100.64
"Sep 4, 2018",101.98
"Sep 5, 2018",99.74
"Sep 6, 2018",97.92
"Sep 7, 2018",97.60
"Sep 10, 2018",96.95
"Sep 11, 2018",99.36
"Sep 12, 2018",99.50
"Sep 13, 2018",99.49
"Sep 14, 2018",98.51
"Sep 17, 2018",95.40
"Sep 18, 2018",97.05
"Sep 19, 2018",96.32
"Sep 20, 2018",97.22
"Sep 21, 2018",95.75
"Sep 24, 2018",96.72
"Sep 25, 2018",98.73
"Sep 26, 2018",98.74
"Sep 27, 2018",100.65
"Sep 28, 2018",100.15
"Oct 1, 2018",100.22
"Oct 2, 2018",98.57
"Oct 3, 2018",97.64
"Oct 4, 2018",95.47
"Oct 5, 2018",94.48
"Oct 8, 2018",93.22
"Oct 9, 2018",93.52
"Oct 10, 2018",87.76
"Oct 11, 2018",85.97
"Oct 12, 2018",89.43
"Oct 15, 2018",88.05
"Oct 16, 2018",91.00
"Oct 17, 2018",91.59
"Oct 18, 2018",88.54
"Oct 19, 2018",88.20
"Oct 22, 2018",89.47
"Oct 23, 2018",88.44
"Oct 24, 2018",83.21
"Oct 25, 2018",89.11
"Oct 26, 2018",82.14
"Oct 29, 2018",76.94
"Oct 30, 2018",76.52
"Oct 31, 2018",79.90
"Nov 1, 2018",83.28
"Nov 2, 2018",83.28
"Nov 5, 2018",81.39
"Nov 6, 2018",82.14
"Nov 7, 2018",87.77
"Nov 8, 2018",87.75
"Nov 9, 2018",85.62
"Nov 12, 2018",81.84
"Nov 13, 2018",81.56
"Nov 14, 2018",79.95
"Nov 15, 2018",80.97
"Nov 16, 2018",79.67
"Nov 19, 2018",75.61
"Nov 20, 2018",74.77
"Nov 21, 2018",75.84
"Nov 23, 2018",75.10
"Nov 26, 2018",79.07
"Nov 27, 2018",79.07
"Nov 28, 2018",83.89
"Nov 29, 2018",83.68
"Nov 30, 2018",84.51
"Dec 3, 2018",88.62
"Dec 4, 2018",83.42
"Dec 6, 2018",84.96
"Dec 7, 2018",81.46
"Dec 10, 2018",82.05
"Dec 11, 2018",82.16
"Dec 12, 2018",83.18
"Dec 13, 2018",82.92
"Dec 14, 2018",79.60
"Dec 17, 2018",76.05
"Dec 18, 2018",77.57
"Dec 19, 2018",74.75
"Dec 20, 2018",73.04
"Dec 21, 2018",68.87
"Dec 24, 2018",67.20
"Dec 26, 2018",73.55
"Dec 27, 2018",73.08
"Dec 28, 2018",73.90
"Dec 31, 2018",75.10
"Jan 2, 2019",76.96
"Jan 3, 2019",75.01
"Jan 4, 2019",78.77
"Jan 7, 2019",81.48
"Jan 8, 2019",82.83
"Jan 9, 2019",82.97
"Jan 10, 2019",82.81
"Jan 11, 2019",82.03
"Jan 14, 2019",80.86
"Jan 15, 2019",83.73
"Jan 16, 2019",84.19
"Jan 17, 2019",84.66
"Jan 18, 2019",84.81
"Jan 22, 2019",81.61
"Jan 23, 2019",82.00
"Jan 24, 2019",82.75
"Jan 25, 2019",83.53
"Jan 28, 2019",81.89
"Jan 29, 2019",79.69
"Jan 30, 2019",83.52
"Jan 31, 2019",85.94
"Feb 1, 2019",81.31
"Feb 4, 2019",81.67
"Feb 5, 2019",82.94
"Feb 6, 2019",82.01
"Feb 7, 2019",80.72
"Feb 8, 2019",79.41
"Feb 11, 2019",79.55
"Feb 12, 2019",81.90
"Feb 13, 2019",82.00
"Feb 14, 2019",81.13
"Feb 15, 2019",80.40
"Feb 19, 2019",81.38
"Feb 20, 2019",81.11
"Feb 21, 2019",80.97
"Feb 22, 2019",81.58
"Feb 25, 2019",81.65
"Feb 26, 2019",81.82
"Feb 27, 2019",82.05
"Feb 28, 2019",81.99
"Mar 1, 2019",83.59
"Mar 4, 2019",84.81
"Mar 5, 2019",84.62
"Mar 6, 2019",83.45
"Mar 7, 2019",81.30
"Mar 8, 2019",81.04
"Mar 11, 2019",83.53
"Mar 12, 2019",83.66
"Mar 13, 2019",84.54
"Mar 14, 2019",84.31
"Mar 15, 2019",85.62
"Mar 18, 2019",87.11
"Mar 19, 2019",88.09
"Mar 20, 2019",89.86
"Mar 21, 2019",90.96
"Mar 22, 2019",88.24
"Mar 25, 2019",88.71
"Mar 26, 2019",89.19
"Mar 27, 2019",88.29
"Mar 28, 2019",88.67
"Mar 29, 2019",89.04
"Apr 1, 2019",90.71
"Apr 2, 2019",90.70
"Apr 3, 2019",91.04
"Apr 4, 2019",90.94
"Apr 5, 2019",91.86
"Apr 8, 2019",92.49
"Apr 9, 2019",91.79
"Apr 10, 2019",92.37
"Apr 11, 2019",92.20
"Apr 12, 2019",92.15
"Apr 15, 2019",92.24
"Apr 16, 2019",93.15
"Apr 17, 2019",93.24
"Apr 18, 2019",93.08
"Apr 22, 2019",94.37
"Apr 23, 2019",96.19
"Apr 24, 2019",95.09
"Apr 25, 2019",95.11
"Apr 26, 2019",97.53
"Apr 29, 2019",96.92
"Apr 30, 2019",96.33
"May 1, 2019",95.58